,Toll,Vehicle,Type,trxtime
3,D,X5536,Tempo,2022-08-20 11:50:00
0,D,X5537,Tempo,2022-08-20 06:50:00
1,C,X5537,Tempo,2022-08-20 07:42:00
2,B,X5537,Tempo,2022-08-20 07:59:00
3,A,X5537,Tempo,2022-08-20 10:56:00
0,A,X5538,Truck,2022-08-20 16:19:00
1,B,X5538,Truck,2022-08-20 18:30:00
2,C,X5538,Truck,2022-08-20 18:47:00
3,D,X5538,Truck,2022-08-20 19:46:00
0,D,X5539,Tempo,2022-08-20 15:59:00
1,C,X5539,Tempo,2022-08-20 16:36:00
2,B,X5539,Tempo,2022-08-20 16:52:00
3,A,X5539,Tempo,2022-08-20 20:16:00
0,A,X5540,Truck,2022-08-20 21:58:00
1,B,X5540,Truck,2022-08-21 00:16:00
2,C,X5540,Truck,2022-08-21 00:32:00
3,D,X5540,Truck,2022-08-21 01:38:00
0,D,X5541,Car,2022-08-20 23:26:00
1,C,X5541,Car,2022-08-21 00:28:00
2,B,X5541,Car,2022-08-21 00:43:00
3,A,X5541,Car,2022-08-21 04:23:00
0,A,X5542,Car,2022-08-20 06:32:00
1,B,X5542,Car,2022-08-20 07:53:00
2,C,X5542,Car,2022-08-20 08:04:00
3,D,X5542,Car,2022-08-20 09:24:00
0,D,X5543,Tempo,2022-08-20 01:46:00
1,C,X5543,Tempo,2022-08-20 02:45:00
2,B,X5543,Tempo,2022-08-20 03:03:00
3,A,X5543,Tempo,2022-08-20 06:35:00
0,A,X5544,Car,2022-08-20 14:44:00
1,B,X5544,Car,2022-08-20 16:55:00
2,C,X5544,Car,2022-08-20 17:15:00
3,D,X5544,Car,2022-08-20 17:54:00
0,D,X5545,Tempo,2022-08-20 16:23:00
1,C,X5545,Tempo,2022-08-20 17:16:00
2,B,X5545,Tempo,2022-08-20 17:45:00
3,A,X5545,Tempo,2022-08-20 21:10:00
0,A,X5546,Car,2022-08-20 07:32:00
1,B,X5546,Car,2022-08-20 10:03:00
2,C,X5546,Car,2022-08-20 10:16:00
3,D,X5546,Car,2022-08-20 11:52:00
0,D,X5547,Car,2022-08-20 23:07:00
1,C,X5547,Car,2022-08-21 00:26:00
2,B,X5547,Car,2022-08-21 00:42:00
3,A,X5547,Car,2022-08-21 04:12:00
0,A,X5548,Tempo,2022-08-20 01:06:00
1,B,X5548,Tempo,2022-08-20 03:13:00
2,C,X5548,Tempo,2022-08-20 03:34:00
3,D,X5548,Tempo,2022-08-20 04:31:00
0,D,X5549,Car,2022-08-20 01:15:00
1,C,X5549,Car,2022-08-20 02:27:00
2,B,X5549,Car,2022-08-20 02:44:00
3,A,X5549,Car,2022-08-20 06:22:00
0,A,X5550,Car,2022-08-20 02:51:00
1,B,X5550,Car,2022-08-20 04:51:00
2,C,X5550,Car,2022-08-20 05:15:00
3,D,X5550,Car,2022-08-20 06:29:00
0,D,X5551,Truck,2022-08-20 14:49:00
1,C,X5551,Truck,2022-08-20 17:30:00
2,B,X5551,Truck,2022-08-20 17:54:00
3,A,X5551,Truck,2022-08-20 21:16:00
0,A,X5552,Tempo,2022-08-20 02:37:00
1,B,X5552,Tempo,2022-08-20 05:03:00
2,C,X5552,Tempo,2022-08-20 05:21:00
3,D,X5552,Tempo,2022-08-20 06:42:00
0,D,X5553,Car,2022-08-20 02:48:00
1,C,X5553,Car,2022-08-20 04:01:00
2,B,X5553,Car,2022-08-20 04:24:00
3,A,X5553,Car,2022-08-20 07:55:00
0,A,X5554,Tempo,2022-08-20 11:42:00
1,B,X5554,Tempo,2022-08-20 13:36:00
2,C,X5554,Tempo,2022-08-20 14:01:00
3,D,X5554,Tempo,2022-08-20 15:04:00
0,D,X5555,Truck,2022-08-20 06:25:00
1,C,X5555,Truck,2022-08-20 08:54:00
2,B,X5555,Truck,2022-08-20 09:17:00
3,A,X5555,Truck,2022-08-20 12:25:00
0,A,X5556,Car,2022-08-20 03:25:00
1,B,X5556,Car,2022-08-20 05:06:00
2,C,X5556,Car,2022-08-20 05:20:00
3,D,X5556,Car,2022-08-20 06:45:00
0,D,X5557,Truck,2022-08-20 18:10:00
1,C,X5557,Truck,2022-08-20 20:32:00
2,B,X5557,Truck,2022-08-20 21:03:00
3,A,X5557,Truck,2022-08-21 00:41:00
0,A,X5558,Truck,2022-08-20 21:36:00
1,B,X5558,Truck,2022-08-21 00:13:00
2,C,X5558,Truck,2022-08-21 00:29:00
3,D,X5558,Truck,2022-08-21 01:34:00
0,D,X5559,Tempo,2022-08-20 21:44:00
1,C,X5559,Tempo,2022-08-20 22:44:00
2,B,X5559,Tempo,2022-08-20 23:10:00
3,A,X5559,Tempo,2022-08-21 02:31:00
0,A,X5560,Tempo,2022-08-20 23:28:00
1,B,X5560,Tempo,2022-08-21 01:23:00
2,C,X5560,Tempo,2022-08-21 01:51:00
3,D,X5560,Tempo,2022-08-21 02:31:00
0,D,X5561,Truck,2022-08-20 17:07:00
1,C,X5561,Truck,2022-08-20 20:08:00
2,B,X5561,Truck,2022-08-20 20:29:00
3,A,X5561,Truck,2022-08-20 23:33:00
0,B,X5562,Car,2022-08-20 10:49:00
1,C,X5562,Car,2022-08-20 11:07:00
2,D,X5562,Car,2022-08-20 11:57:00
0,D,X5563,Truck,2022-08-20 09:10:00
1,C,X5563,Truck,2022-08-20 11:46:00
2,B,X5563,Truck,2022-08-20 12:02:00
3,A,X5563,Truck,2022-08-20 16:04:00
0,A,X5564,Tempo,2022-08-20 23:28:00
1,B,X5564,Tempo,2022-08-21 02:00:00
2,C,X5564,Tempo,2022-08-21 02:11:00
3,D,X5564,Tempo,2022-08-21 03:19:00
0,D,X5565,Car,2022-08-20 06:23:00
1,C,X5565,Car,2022-08-20 07:15:00
2,B,X5565,Car,2022-08-20 07:37:00
3,A,X5565,Car,2022-08-20 11:13:00
0,A,X5566,Tempo,2022-08-20 12:20:00
1,B,X5566,Tempo,2022-08-20 14:23:00
2,C,X5566,Tempo,2022-08-20 14:40:00
3,D,X5566,Tempo,2022-08-20 15:32:00
0,D,X5567,Tempo,2022-08-20 19:03:00
1,C,X5567,Tempo,2022-08-20 20:36:00
2,B,X5567,Tempo,2022-08-20 20:55:00
3,A,X5567,Tempo,2022-08-21 00:28:00
0,A,X5568,Truck,2022-08-20 09:06:00
1,B,X5568,Truck,2022-08-20 11:25:00
2,C,X5568,Truck,2022-08-20 11:44:00
3,D,X5568,Truck,2022-08-20 12:54:00
0,D,X5569,Truck,2022-08-20 13:41:00
1,C,X5569,Truck,2022-08-20 16:22:00
2,B,X5569,Truck,2022-08-20 16:42:00
3,A,X5569,Truck,2022-08-20 20:21:00
0,A,X5570,Car,2022-08-20 20:15:00
1,B,X5570,Car,2022-08-20 21:53:00
2,C,X5570,Car,2022-08-20 22:14:00
3,D,X5570,Car,2022-08-20 23:33:00
0,D,X5571,Truck,2022-08-20 12:19:00
1,C,X5571,Truck,2022-08-20 14:45:00
2,B,X5571,Truck,2022-08-20 15:02:00
3,A,X5571,Truck,2022-08-20 18:12:00
0,A,X5572,Car,2022-08-20 15:08:00
1,B,X5572,Car,2022-08-20 16:54:00
2,C,X5572,Car,2022-08-20 17:10:00
3,D,X5572,Car,2022-08-20 18:09:00
0,D,X5573,Truck,2022-08-20 04:02:00
1,C,X5573,Truck,2022-08-20 06:34:00
2,B,X5573,Truck,2022-08-20 06:58:00
3,A,X5573,Truck,2022-08-20 10:40:00
0,A,X5574,Car,2022-08-20 11:20:00
1,B,X5574,Car,2022-08-20 13:44:00
2,C,X5574,Car,2022-08-20 14:07:00
3,D,X5574,Car,2022-08-20 15:18:00
0,D,X5575,Car,2022-08-20 18:30:00
1,C,X5575,Car,2022-08-20 19:26:00
2,B,X5575,Car,2022-08-20 19:52:00
3,A,X5575,Car,2022-08-20 23:21:00
0,A,X5576,Truck,2022-08-20 03:21:00
1,B,X5576,Truck,2022-08-20 06:07:00
2,C,X5576,Truck,2022-08-20 06:31:00
3,D,X5576,Truck,2022-08-20 07:45:00
0,D,X5577,Car,2022-08-20 05:01:00
1,C,X5577,Car,2022-08-20 06:10:00
2,B,X5577,Car,2022-08-20 06:19:00
3,A,X5577,Car,2022-08-20 09:49:00
0,A,X5578,Truck,2022-08-20 19:34:00
1,B,X5578,Truck,2022-08-20 21:59:00
2,C,X5578,Truck,2022-08-20 22:16:00
3,D,X5578,Truck,2022-08-20 23:20:00
0,D,X5579,Tempo,2022-08-20 17:13:00
1,C,X5579,Tempo,2022-08-20 18:29:00
2,B,X5579,Tempo,2022-08-20 18:38:00
3,A,X5579,Tempo,2022-08-20 22:26:00
0,A,X5580,Car,2022-08-20 16:12:00
1,B,X5580,Car,2022-08-20 18:23:00
2,C,X5580,Car,2022-08-20 18:45:00
3,D,X5580,Car,2022-08-20 19:14:00
0,D,X5581,Tempo,2022-08-20 20:08:00
1,C,X5581,Tempo,2022-08-20 20:54:00
2,B,X5581,Tempo,2022-08-20 21:19:00
3,A,X5581,Tempo,2022-08-21 00:48:00
0,A,X5582,Tempo,2022-08-20 17:22:00
1,B,X5582,Tempo,2022-08-20 19:36:00
2,C,X5582,Tempo,2022-08-20 19:55:00
3,D,X5582,Tempo,2022-08-20 21:27:00
0,D,X5583,Tempo,2022-08-20 06:52:00
1,C,X5583,Tempo,2022-08-20 08:01:00
2,B,X5583,Tempo,2022-08-20 08:20:00
3,A,X5583,Tempo,2022-08-20 11:08:00
0,A,X5584,Tempo,2022-08-20 11:45:00
1,B,X5584,Tempo,2022-08-20 14:25:00
2,C,X5584,Tempo,2022-08-20 14:48:00
3,D,X5584,Tempo,2022-08-20 15:56:00
0,D,X5585,Truck,2022-08-20 06:51:00
1,C,X5585,Truck,2022-08-20 09:41:00
2,B,X5585,Truck,2022-08-20 10:03:00
3,A,X5585,Truck,2022-08-20 13:36:00
0,A,X5586,Truck,2022-08-20 01:20:00
1,B,X5586,Truck,2022-08-20 03:18:00
2,C,X5586,Truck,2022-08-20 03:42:00
3,D,X5586,Truck,2022-08-20 04:41:00
0,D,X5587,Tempo,2022-08-20 03:23:00
1,C,X5587,Tempo,2022-08-20 04:32:00
2,B,X5587,Tempo,2022-08-20 04:50:00
3,A,X5587,Tempo,2022-08-20 08:04:00
0,A,X5588,Truck,2022-08-20 23:20:00
1,B,X5588,Truck,2022-08-21 01:32:00
2,C,X5588,Truck,2022-08-21 01:54:00
3,D,X5588,Truck,2022-08-21 03:03:00
0,D,X5589,Car,2022-08-20 14:20:00
1,C,X5589,Car,2022-08-20 15:13:00
2,B,X5589,Car,2022-08-20 15:35:00
3,A,X5589,Car,2022-08-20 18:34:00
0,A,X5590,Truck,2022-08-20 01:00:00
1,B,X5590,Truck,2022-08-20 03:04:00
2,C,X5590,Truck,2022-08-20 03:20:00
3,D,X5590,Truck,2022-08-20 04:23:00
0,D,X5591,Car,2022-08-20 04:19:00
1,C,X5591,Car,2022-08-20 05:24:00
2,B,X5591,Car,2022-08-20 05:48:00
3,A,X5591,Car,2022-08-20 09:22:00
0,A,X5592,Car,2022-08-20 11:51:00
1,B,X5592,Car,2022-08-20 13:07:00
2,C,X5592,Car,2022-08-20 13:23:00
3,D,X5592,Car,2022-08-20 13:57:00
0,D,X5593,Tempo,2022-08-20 16:19:00
1,C,X5593,Tempo,2022-08-20 17:22:00
2,B,X5593,Tempo,2022-08-20 17:38:00
3,A,X5593,Tempo,2022-08-20 20:57:00
0,A,X5594,Car,2022-08-20 01:50:00
1,B,X5594,Car,2022-08-20 03:55:00
2,C,X5594,Car,2022-08-20 04:18:00
3,D,X5594,Car,2022-08-20 05:15:00
0,D,X5595,Car,2022-08-20 17:30:00
1,C,X5595,Car,2022-08-20 18:02:00
2,B,X5595,Car,2022-08-20 18:19:00
3,A,X5595,Car,2022-08-20 21:41:00
0,A,X5596,Tempo,2022-08-20 03:02:00
1,B,X5596,Tempo,2022-08-20 05:38:00
2,C,X5596,Tempo,2022-08-20 05:55:00
3,D,X5596,Tempo,2022-08-20 06:46:00
0,D,X5597,Car,2022-08-20 17:42:00
1,C,X5597,Car,2022-08-20 18:22:00
2,B,X5597,Car,2022-08-20 18:45:00
3,A,X5597,Car,2022-08-20 22:14:00
0,A,X5598,Tempo,2022-08-20 11:45:00
1,B,X5598,Tempo,2022-08-20 14:11:00
2,C,X5598,Tempo,2022-08-20 14:34:00
3,D,X5598,Tempo,2022-08-20 15:20:00
0,D,X5599,Tempo,2022-08-20 07:53:00
1,C,X5599,Tempo,2022-08-20 08:39:00
2,B,X5599,Tempo,2022-08-20 08:54:00
3,A,X5599,Tempo,2022-08-20 11:52:00
0,A,X5600,Truck,2022-08-20 20:22:00
1,B,X5600,Truck,2022-08-20 22:37:00
2,C,X5600,Truck,2022-08-20 22:53:00
3,D,X5600,Truck,2022-08-20 23:59:00
0,D,X5601,Tempo,2022-08-20 15:33:00
1,C,X5601,Tempo,2022-08-20 16:13:00
2,B,X5601,Tempo,2022-08-20 16:41:00
3,A,X5601,Tempo,2022-08-20 19:58:00
0,A,X5602,Truck,2022-08-20 17:23:00
1,B,X5602,Truck,2022-08-20 19:20:00
2,C,X5602,Truck,2022-08-20 19:39:00
3,D,X5602,Truck,2022-08-20 20:37:00
0,D,X5603,Tempo,2022-08-20 19:15:00
1,C,X5603,Tempo,2022-08-20 20:20:00
2,B,X5603,Tempo,2022-08-20 20:38:00
3,A,X5603,Tempo,2022-08-20 23:55:00
0,A,X5604,Car,2022-08-20 21:58:00
1,B,X5604,Car,2022-08-21 00:44:00
2,C,X5604,Car,2022-08-21 00:59:00
3,D,X5604,Car,2022-08-21 02:05:00
0,D,X5605,Truck,2022-08-20 21:44:00
1,C,X5605,Truck,2022-08-21 00:28:00
2,B,X5605,Truck,2022-08-21 00:55:00
3,A,X5605,Truck,2022-08-21 04:45:00
0,A,X5606,Tempo,2022-08-20 10:17:00
1,B,X5606,Tempo,2022-08-20 12:59:00
2,C,X5606,Tempo,2022-08-20 13:23:00
3,D,X5606,Tempo,2022-08-20 14:09:00
0,D,X5607,Truck,2022-08-20 02:32:00
1,C,X5607,Truck,2022-08-20 05:18:00
2,B,X5607,Truck,2022-08-20 05:42:00
3,A,X5607,Truck,2022-08-20 09:07:00
0,A,X5608,Tempo,2022-08-20 02:21:00
1,B,X5608,Tempo,2022-08-20 04:13:00
2,C,X5608,Tempo,2022-08-20 04:44:00
3,D,X5608,Tempo,2022-08-20 05:57:00
0,D,X5609,Tempo,2022-08-20 22:51:00
1,C,X5609,Tempo,2022-08-20 23:28:00
2,B,X5609,Tempo,2022-08-20 23:44:00
3,A,X5609,Tempo,2022-08-21 03:02:00
0,A,X5610,Truck,2022-08-20 08:34:00
1,B,X5610,Truck,2022-08-20 10:36:00
2,C,X5610,Truck,2022-08-20 11:00:00
3,D,X5610,Truck,2022-08-20 12:28:00
0,D,X5611,Tempo,2022-08-20 10:25:00
1,C,X5611,Tempo,2022-08-20 11:40:00
2,B,X5611,Tempo,2022-08-20 11:51:00
3,A,X5611,Tempo,2022-08-20 15:24:00
0,A,X5612,Truck,2022-08-20 19:53:00
1,B,X5612,Truck,2022-08-20 20:46:00
2,C,X5612,Truck,2022-08-20 21:04:00
3,D,X5612,Truck,2022-08-20 22:00:00
0,D,X5613,Truck,2022-08-20 22:28:00
1,C,X5613,Truck,2022-08-21 00:44:00
2,B,X5613,Truck,2022-08-21 01:00:00
3,A,X5613,Truck,2022-08-21 04:04:00
0,A,X5614,Tempo,2022-08-20 06:48:00
1,B,X5614,Tempo,2022-08-20 08:09:00
2,C,X5614,Tempo,2022-08-20 08:22:00
3,D,X5614,Tempo,2022-08-20 09:28:00
0,D,X5615,Tempo,2022-08-20 17:23:00
1,C,X5615,Tempo,2022-08-20 18:21:00
2,B,X5615,Tempo,2022-08-20 18:44:00
3,A,X5615,Tempo,2022-08-20 22:26:00
0,A,X5616,Truck,2022-08-20 05:51:00
1,B,X5616,Truck,2022-08-20 08:55:00
2,C,X5616,Truck,2022-08-20 09:19:00
3,D,X5616,Truck,2022-08-20 09:59:00
0,D,X5617,Car,2022-08-20 18:08:00
1,C,X5617,Car,2022-08-20 19:00:00
2,B,X5617,Car,2022-08-20 19:16:00
3,A,X5617,Car,2022-08-20 22:44:00
0,A,X5618,Tempo,2022-08-20 17:54:00
1,B,X5618,Tempo,2022-08-20 19:54:00
2,C,X5618,Tempo,2022-08-20 20:11:00
3,D,X5618,Tempo,2022-08-20 21:14:00
0,D,X5619,Tempo,2022-08-20 23:13:00
1,C,X5619,Tempo,2022-08-21 00:34:00
2,B,X5619,Tempo,2022-08-21 00:56:00
3,A,X5619,Tempo,2022-08-21 04:09:00
0,A,X5620,Truck,2022-08-20 01:42:00
1,B,X5620,Truck,2022-08-20 03:40:00
2,C,X5620,Truck,2022-08-20 03:57:00
3,D,X5620,Truck,2022-08-20 04:51:00
0,D,X5621,Tempo,2022-08-20 14:58:00
1,C,X5621,Tempo,2022-08-20 15:33:00
2,B,X5621,Tempo,2022-08-20 15:54:00
3,A,X5621,Tempo,2022-08-20 19:01:00
0,A,X5622,Car,2022-08-20 12:18:00
1,B,X5622,Car,2022-08-20 13:48:00
2,C,X5622,Car,2022-08-20 14:02:00
3,D,X5622,Car,2022-08-20 15:06:00
0,D,X5623,Tempo,2022-08-20 04:13:00
1,C,X5623,Tempo,2022-08-20 05:10:00
2,B,X5623,Tempo,2022-08-20 05:34:00
3,A,X5623,Tempo,2022-08-20 09:08:00
0,A,X5624,Car,2022-08-20 08:41:00
1,B,X5624,Car,2022-08-20 11:36:00
2,C,X5624,Car,2022-08-20 11:55:00
3,D,X5624,Car,2022-08-20 13:17:00
0,D,X5625,Tempo,2022-08-20 22:43:00
1,C,X5625,Tempo,2022-08-20 23:40:00
2,B,X5625,Tempo,2022-08-21 00:01:00
3,A,X5625,Tempo,2022-08-21 03:14:00
0,B,X5626,Truck,2022-08-20 17:59:00
1,C,X5626,Truck,2022-08-20 18:14:00
2,D,X5626,Truck,2022-08-20 18:53:00
0,D,X5627,Car,2022-08-20 03:23:00
1,C,X5627,Car,2022-08-20 04:31:00
2,B,X5627,Car,2022-08-20 04:49:00
3,A,X5627,Car,2022-08-20 08:14:00
0,A,X5628,Car,2022-08-20 01:41:00
1,B,X5628,Car,2022-08-20 04:00:00
2,C,X5628,Car,2022-08-20 04:13:00
3,D,X5628,Car,2022-08-20 05:19:00
0,D,X5629,Car,2022-08-20 21:45:00
1,C,X5629,Car,2022-08-20 22:27:00
2,B,X5629,Car,2022-08-20 22:51:00
3,A,X5629,Car,2022-08-21 02:07:00
0,A,X5630,Truck,2022-08-20 12:53:00
1,B,X5630,Truck,2022-08-20 15:25:00
2,C,X5630,Truck,2022-08-20 15:49:00
3,D,X5630,Truck,2022-08-20 16:59:00
0,D,X5631,Tempo,2022-08-20 13:38:00
1,C,X5631,Tempo,2022-08-20 14:42:00
2,B,X5631,Tempo,2022-08-20 14:54:00
3,A,X5631,Tempo,2022-08-20 17:57:00
0,A,X5632,Truck,2022-08-20 01:20:00
1,B,X5632,Truck,2022-08-20 03:35:00
2,C,X5632,Truck,2022-08-20 03:58:00
3,D,X5632,Truck,2022-08-20 04:50:00
0,D,X5633,Truck,2022-08-20 20:01:00
1,C,X5633,Truck,2022-08-20 22:18:00
2,B,X5633,Truck,2022-08-20 22:35:00
3,A,X5633,Truck,2022-08-21 01:51:00
0,A,X5634,Tempo,2022-08-20 05:18:00
1,B,X5634,Tempo,2022-08-20 07:45:00
2,C,X5634,Tempo,2022-08-20 08:02:00
3,D,X5634,Tempo,2022-08-20 09:10:00
0,D,X5635,Tempo,2022-08-20 14:57:00
1,C,X5635,Tempo,2022-08-20 15:55:00
2,B,X5635,Tempo,2022-08-20 16:18:00
3,A,X5635,Tempo,2022-08-20 19:26:00
0,A,X5636,Tempo,2022-08-20 14:00:00
1,B,X5636,Tempo,2022-08-20 16:02:00
2,C,X5636,Tempo,2022-08-20 16:17:00
3,D,X5636,Tempo,2022-08-20 17:08:00
0,D,X5637,Car,2022-08-20 11:58:00
1,C,X5637,Car,2022-08-20 13:10:00
2,B,X5637,Car,2022-08-20 13:27:00
3,A,X5637,Car,2022-08-20 16:52:00
0,A,X5638,Tempo,2022-08-20 23:30:00
1,B,X5638,Tempo,2022-08-21 01:35:00
2,C,X5638,Tempo,2022-08-21 01:55:00
3,D,X5638,Tempo,2022-08-21 02:54:00
0,D,X5639,Truck,2022-08-20 07:17:00
1,C,X5639,Truck,2022-08-20 10:10:00
2,B,X5639,Truck,2022-08-20 10:27:00
3,A,X5639,Truck,2022-08-20 13:39:00
0,A,X5640,Truck,2022-08-20 02:43:00
1,B,X5640,Truck,2022-08-20 05:33:00
2,C,X5640,Truck,2022-08-20 05:56:00
3,D,X5640,Truck,2022-08-20 06:43:00
0,D,X5641,Car,2022-08-20 19:26:00
1,C,X5641,Car,2022-08-20 20:35:00
2,B,X5641,Car,2022-08-20 20:49:00
3,A,X5641,Car,2022-08-21 00:19:00
0,B,X5642,Tempo,2022-08-20 20:41:00
1,C,X5642,Tempo,2022-08-20 21:04:00
2,D,X5642,Tempo,2022-08-20 22:10:00
0,D,X5643,Truck,2022-08-20 05:16:00
1,C,X5643,Truck,2022-08-20 07:57:00
2,B,X5643,Truck,2022-08-20 08:17:00
3,A,X5643,Truck,2022-08-20 11:41:00
0,A,X5644,Car,2022-08-20 15:53:00
1,B,X5644,Car,2022-08-20 17:48:00
2,C,X5644,Car,2022-08-20 18:02:00
3,D,X5644,Car,2022-08-20 19:34:00
0,D,X5645,Truck,2022-08-20 01:37:00
1,C,X5645,Truck,2022-08-20 04:13:00
2,B,X5645,Truck,2022-08-20 04:25:00
3,A,X5645,Truck,2022-08-20 07:42:00
0,A,X5646,Tempo,2022-08-20 05:08:00
1,B,X5646,Tempo,2022-08-20 07:02:00
2,C,X5646,Tempo,2022-08-20 07:23:00
3,D,X5646,Tempo,2022-08-20 08:21:00
0,D,X5647,Car,2022-08-20 23:03:00
1,C,X5647,Car,2022-08-21 00:17:00
2,B,X5647,Car,2022-08-21 00:31:00
3,A,X5647,Car,2022-08-21 03:39:00
0,A,X5648,Truck,2022-08-20 12:30:00
1,B,X5648,Truck,2022-08-20 14:00:00
2,C,X5648,Truck,2022-08-20 14:13:00
3,D,X5648,Truck,2022-08-20 15:07:00
0,D,X5649,Tempo,2022-08-20 04:44:00
1,C,X5649,Tempo,2022-08-20 05:27:00
2,B,X5649,Tempo,2022-08-20 05:53:00
3,A,X5649,Tempo,2022-08-20 09:37:00
0,A,X5650,Truck,2022-08-20 11:00:00
1,B,X5650,Truck,2022-08-20 13:14:00
2,C,X5650,Truck,2022-08-20 13:32:00
3,D,X5650,Truck,2022-08-20 14:29:00
0,D,X5651,Truck,2022-08-20 12:50:00
1,C,X5651,Truck,2022-08-20 14:48:00
2,B,X5651,Truck,2022-08-20 14:58:00
3,A,X5651,Truck,2022-08-20 18:36:00
0,B,X5652,Truck,2022-08-20 16:16:00
1,C,X5652,Truck,2022-08-20 16:45:00
2,D,X5652,Truck,2022-08-20 17:33:00
0,D,X5653,Car,2022-08-20 00:25:00
1,C,X5653,Car,2022-08-20 01:42:00
2,B,X5653,Car,2022-08-20 01:52:00
3,A,X5653,Car,2022-08-20 04:59:00
0,A,X5654,Car,2022-08-20 18:26:00
1,B,X5654,Car,2022-08-20 20:47:00
2,C,X5654,Car,2022-08-20 21:15:00
3,D,X5654,Car,2022-08-20 22:31:00
0,D,X5655,Tempo,2022-08-20 00:54:00
1,C,X5655,Tempo,2022-08-20 01:42:00
2,B,X5655,Tempo,2022-08-20 02:06:00
3,A,X5655,Tempo,2022-08-20 05:15:00
0,A,X5656,Car,2022-08-20 18:50:00
1,B,X5656,Car,2022-08-20 20:21:00
2,C,X5656,Car,2022-08-20 20:43:00
3,D,X5656,Car,2022-08-20 22:05:00
0,D,X5657,Tempo,2022-08-20 10:53:00
1,C,X5657,Tempo,2022-08-20 12:05:00
2,B,X5657,Tempo,2022-08-20 12:26:00
3,A,X5657,Tempo,2022-08-20 15:18:00
0,A,X5658,Tempo,2022-08-20 01:07:00
1,B,X5658,Tempo,2022-08-20 03:25:00
2,C,X5658,Tempo,2022-08-20 03:43:00
3,D,X5658,Tempo,2022-08-20 04:30:00
0,D,X5659,Tempo,2022-08-20 09:47:00
1,C,X5659,Tempo,2022-08-20 10:48:00
2,B,X5659,Tempo,2022-08-20 11:10:00
3,A,X5659,Tempo,2022-08-20 14:40:00
0,A,X5660,Truck,2022-08-20 18:44:00
1,B,X5660,Truck,2022-08-20 20:36:00
2,C,X5660,Truck,2022-08-20 20:50:00
3,D,X5660,Truck,2022-08-20 21:59:00
0,D,X5661,Car,2022-08-20 19:33:00
1,C,X5661,Car,2022-08-20 20:17:00
2,B,X5661,Car,2022-08-20 20:37:00
3,A,X5661,Car,2022-08-20 23:56:00
0,A,X5662,Truck,2022-08-20 20:06:00
1,B,X5662,Truck,2022-08-20 22:07:00
2,C,X5662,Truck,2022-08-20 22:18:00
3,D,X5662,Truck,2022-08-20 22:54:00
0,D,X5663,Truck,2022-08-20 18:10:00
1,C,X5663,Truck,2022-08-20 21:04:00
2,B,X5663,Truck,2022-08-20 21:21:00
3,A,X5663,Truck,2022-08-21 00:27:00
0,A,X5664,Truck,2022-08-20 19:23:00
1,B,X5664,Truck,2022-08-20 21:41:00
2,C,X5664,Truck,2022-08-20 21:55:00
3,D,X5664,Truck,2022-08-20 22:53:00
0,D,X5665,Truck,2022-08-20 00:29:00
1,C,X5665,Truck,2022-08-20 02:23:00
2,B,X5665,Truck,2022-08-20 02:48:00
3,A,X5665,Truck,2022-08-20 06:19:00
0,A,X5666,Car,2022-08-20 15:26:00
1,B,X5666,Car,2022-08-20 16:48:00
2,C,X5666,Car,2022-08-20 17:10:00
3,D,X5666,Car,2022-08-20 18:29:00
0,D,X5667,Car,2022-08-20 07:55:00
1,C,X5667,Car,2022-08-20 09:03:00
2,B,X5667,Car,2022-08-20 09:28:00
3,A,X5667,Car,2022-08-20 12:20:00
0,A,X5668,Truck,2022-08-20 04:16:00
1,B,X5668,Truck,2022-08-20 06:00:00
2,C,X5668,Truck,2022-08-20 06:23:00
3,D,X5668,Truck,2022-08-20 07:21:00
0,D,X5669,Car,2022-08-20 11:06:00
1,C,X5669,Car,2022-08-20 12:01:00
2,B,X5669,Car,2022-08-20 12:19:00
3,A,X5669,Car,2022-08-20 15:58:00
0,A,X5670,Tempo,2022-08-20 03:21:00
1,B,X5670,Tempo,2022-08-20 05:00:00
2,C,X5670,Tempo,2022-08-20 05:20:00
3,D,X5670,Tempo,2022-08-20 06:15:00
0,D,X5671,Truck,2022-08-20 22:29:00
1,C,X5671,Truck,2022-08-21 01:30:00
2,B,X5671,Truck,2022-08-21 01:46:00
3,A,X5671,Truck,2022-08-21 05:18:00
0,A,X5672,Car,2022-08-20 04:39:00
1,B,X5672,Car,2022-08-20 06:42:00
2,C,X5672,Car,2022-08-20 07:03:00
3,D,X5672,Car,2022-08-20 08:01:00
0,D,X5673,Tempo,2022-08-20 10:07:00
1,C,X5673,Tempo,2022-08-20 10:56:00
2,B,X5673,Tempo,2022-08-20 11:05:00
3,A,X5673,Tempo,2022-08-20 14:31:00
0,A,X5674,Tempo,2022-08-20 19:11:00
1,B,X5674,Tempo,2022-08-20 21:43:00
2,C,X5674,Tempo,2022-08-20 21:55:00
3,D,X5674,Tempo,2022-08-20 23:05:00
0,D,X5675,Car,2022-08-20 17:22:00
1,C,X5675,Car,2022-08-20 18:25:00
2,B,X5675,Car,2022-08-20 18:40:00
3,A,X5675,Car,2022-08-20 22:19:00
0,A,X5676,Car,2022-08-20 21:25:00
1,B,X5676,Car,2022-08-20 23:26:00
2,C,X5676,Car,2022-08-20 23:43:00
3,D,X5676,Car,2022-08-21 00:23:00
0,D,X5677,Tempo,2022-08-20 00:29:00
